symbol_name,Fixed_Share,Traditional_DCA,Value_Averaging,Variable_DCA
Nikkei225_daily_raw,11121182.926229,8495847.8482,5524052.478125,8425929.569596
SP500_daily_raw,14021014.573871,8827708.490533,4905801.580208,8926949.817115
TAIEX_history,14377661.619596,9070024.705864,6457700.709938,9159197.48549
