symbol_name,Fixed_Share,Traditional_DCA,Value_Averaging,Variable_DCA
Nikkei225_daily_raw,175.80207,242.57451,430.118131,243.215054
SP500_daily_raw,160.904539,255.955988,491.325981,258.512041
TAIEX_history,209.132294,265.726803,390.752661,267.102104
