symbol_name,Fixed_Share,Traditional_DCA,Value_Averaging,Variable_DCA
Nikkei225_daily_raw,10.798871,10.736699,10.111447,10.725147
SP500_daily_raw,11.242719,11.045391,10.869865,11.073947
TAIEX_history,11.838264,11.263757,11.225694,11.253548
