Date,ReturnPct
2005-09-30,7.732566142900388
2005-10-31,4.294298727500001
2005-11-30,11.744331077858083
2005-12-30,17.412688304843748
2006-01-31,17.421359270078128
2006-02-28,11.628347479296863
2006-03-31,15.990798416277885
2006-04-28,12.771171789233392
2006-05-31,1.8631956955078133
2006-06-30,1.902149610687509
2006-07-31,1.3732045339932553
2006-08-31,5.74833970579427
2006-09-29,5.223267289121103
2006-10-31,6.560674948002232
2006-11-30,5.323753718367197
2006-12-29,11.110221428222665
2007-01-31,11.423457648567336
2007-02-28,12.151696296857661
2007-03-30,9.552086192001452
2007-04-27,9.862544340634782
2007-05-31,12.416786768928588
2007-06-29,13.474244071413356
2007-07-31,7.350780656127731
2007-08-31,2.915394440436203
2007-09-28,4.153443916385946
2007-10-31,3.6822328660486736
2007-11-30,-3.0202485772439336
2007-12-28,-5.209615811599844
2008-01-31,-15.543362775169388
2008-02-29,-14.935739187851581
2008-03-31,-21.090293740955147
2008-04-30,-12.053354058035271
2008-05-30,-8.554009990431155
2008-06-30,-13.803574083401593
2008-07-31,-14.077014267094313
2008-08-29,-15.588651958255218
2008-09-30,-26.889054188889094
2008-10-31,-43.7892620406651
2008-11-28,-43.249126831266025
2008-12-30,-39.77277162815284
2009-01-30,-44.82587350233208
2009-02-27,-46.71869676498187
2009-03-31,-41.64648095147313
2009-04-30,-35.516139465634765
2009-05-29,-29.63373171888889
2009-06-30,-25.775127956887733
2009-07-31,-22.231279107141365
2009-08-31,-20.742206834975583
2009-09-30,-23.006790499658003
2009-10-30,-23.26878079681407
2009-11-30,-28.07062173973136
2009-12-30,-18.269992792883304
2010-01-29,-20.65515773512715
2010-02-26,-20.83687804434682
2010-03-31,-12.895331180934145
2010-04-30,-12.945771888526448
2010-05-31,-22.838564159309726
2010-06-30,-25.500092461499367
2010-07-30,-23.79692444931063
2010-08-31,-29.134082008858574
2010-09-30,-24.267817436197493
2010-10-29,-25.238292733622902
2010-11-30,-18.828881495468764
2010-12-30,-16.150020816092546
2011-01-31,-15.852617733422491
2011-02-28,-12.434962129636018
2011-03-31,-19.443428455067924
2011-04-28,-18.36604531629884
2011-05-31,-19.419106558146517
2011-06-30,-18.12490610733818
2011-07-29,-17.73531899145344
2011-08-31,-24.87180318145752
2011-09-30,-26.69483028777224
2011-10-31,-23.869440148142683
2011-11-30,-28.239584575853005
2011-12-30,-27.71562338128959
2012-01-31,-24.389592869050592
2012-02-29,-16.136624158689894
2012-03-30,-12.814877555591742
2012-04-27,-17.531695028587524
2012-05-31,-25.79000598422596
2012-06-29,-21.411635288837406
2012-07-31,-23.88207407351374
2012-08-31,-22.31752993888392
2012-09-28,-21.780715419889706
2012-10-31,-21.003387754245196
2012-11-30,-16.169764227077042
2012-12-28,-7.545590802388125
2013-01-31,-0.8752497955350047
2013-02-28,2.873294219633804
2013-03-29,10.297383722347186
2013-04-30,23.213636699888873
2013-05-31,22.20301662821582
2013-06-28,21.1468195619124
2013-07-31,20.831347061019745
2013-08-30,18.123709981866742
2013-09-30,27.319996264272707
2013-10-31,25.91554142413155
2013-11-29,37.36194460461153
2013-12-30,42.49424111878057
2014-01-31,30.088657429382625
2014-02-28,29.17409772778492
2014-03-31,28.78836771214768
2014-04-30,23.97476971736401
2014-05-30,26.574159362175507
2014-06-30,30.876740651302704
2014-07-31,34.52829644752447
2014-08-29,32.52883002855904
2014-09-30,38.64751843877758
2014-10-31,40.35565487487658
2014-11-28,48.88863474595053
2014-12-30,48.3683185124121
2015-01-30,49.838211119564434
2015-02-27,58.904537483056664
2015-03-31,61.83763874707813
2015-04-30,63.9412857695683
2015-05-29,72.12598750633981
2015-06-30,68.78350802047734
2015-07-31,71.10678985381138
2015-08-31,56.4773697080895
2015-09-30,43.63368822753824
2015-10-30,57.22522283723968
2015-11-30,62.23552377040538
2015-12-30,55.877574992480476
2016-01-29,43.078868895368736
2016-02-29,30.569978739455284
2016-03-31,36.27814151406066
2016-04-28,35.27170032197417
2016-05-31,39.6324689138672
2016-06-30,25.927205318090763
2016-07-29,33.74211722288227
2016-08-31,36.04635600418145
2016-09-30,32.25562145963403
2016-10-31,39.83393000486242
2016-11-30,46.61280894216784
2016-12-30,52.699985340115596
2017-01-31,51.715565333347115
2017-02-28,51.953925824540434
2017-03-31,49.907288261194196
2017-04-28,51.82162697205746
2017-05-31,55.03034535580675
2017-06-30,57.64819918402067
2017-07-31,56.394620595727176
2017-08-31,53.81697582056682
2017-09-29,58.98990185841122
2017-10-31,71.48011610879709
2017-11-30,76.52262538209766
2017-12-29,76.31242567796134
2018-01-31,78.35304679024591
2018-02-28,69.8899655456066
2018-03-30,64.72383530771187
2018-04-27,72.06209033688451
2018-05-31,69.55808203294933
2018-06-29,69.88946648824839
2018-07-31,71.34645686776335
2018-08-31,73.24329077637546
2018-09-28,82.26380184956956
2018-10-31,65.16646388061413
2018-11-30,67.9999304012006
2018-12-28,50.05326780058861
2019-01-31,55.43374016560667
2019-02-28,59.657731316373685
2019-03-29,57.94968451983677
2019-04-26,65.41235016420181
2019-05-31,52.73624223394435
2019-06-28,57.416369880749116
2019-07-31,58.87314968200095
2019-08-30,52.50317988469424
2019-09-30,59.92414059779492
2019-10-31,68.1583261957762
2019-11-29,70.44615989102043
2019-12-30,72.67831290264138
2020-01-31,68.98204062440342
2020-02-28,53.60889330583378
2020-03-31,37.15789929355458
