Date,MarketPrice,UnitsBought,CashUsed,CumUnits,CumInvested,PortfolioValue,AvgCost,ProfitLoss,ReturnPct
2014-07-01,15326.2001953125,0.652477,10000.0,92.149927,1070000.0,1412308.2291854327,11611.512182749748,342308.22918543266,31.9914232883582
2014-07-02,15369.9697265625,0.0,0.0,92.149927,1070000.0,1416341.5882949445,11611.512182749748,346341.5882949445,32.36837273784528
2014-07-03,15348.2900390625,0.0,0.0,92.149927,1070000.0,1414343.8066744367,11611.512182749748,344343.80667443667,32.181664175181
2014-07-04,15437.1298828125,0.0,0.0,92.149927,1070000.0,1422530.3917906906,11611.512182749748,352530.3917906906,32.946765587915
2014-07-07,15379.4404296875,0.0,0.0,92.149927,1070000.0,1417214.3128965518,11611.512182749748,347214.3128965518,32.44993578472446
2014-07-08,15314.41015625,0.0,0.0,92.149927,1070000.0,1411221.7779464961,11611.512182749748,341221.77794649615,31.88988578939216
2014-07-09,15302.650390625,0.0,0.0,92.149927,1070000.0,1410138.1164026153,11611.512182749748,340138.1164026153,31.788609009590218
2014-07-10,15216.4697265625,0.0,0.0,92.149927,1070000.0,1402196.5745004443,11611.512182749748,332196.57450044435,31.046408831817217
2014-07-11,15164.0400390625,0.0,0.0,92.149927,1070000.0,1397365.1826246865,11611.512182749748,327365.1826246865,30.594876880811817
2014-07-14,15296.8203125,0.0,0.0,92.149927,1070000.0,1409600.8751289924,11611.512182749748,339600.87512899237,31.73839954476565
2014-07-15,15395.16015625,0.0,0.0,92.149927,1070000.0,1418662.884551746,11611.512182749748,348662.8845517461,32.585316313247304
2014-07-16,15379.2998046875,0.0,0.0,92.149927,1070000.0,1417201.3543130674,11611.512182749748,347201.3543130674,32.44872470215583
2014-07-17,15370.259765625,0.0,0.0,92.149927,1070000.0,1416368.315373381,11611.512182749748,346368.3153733809,32.370870595643076
2014-07-18,15215.7099609375,0.0,0.0,92.149927,1070000.0,1402126.5621535636,11611.512182749748,332126.5621535636,31.039865621828366
2014-07-22,15343.2802734375,0.0,0.0,92.149927,1070000.0,1413882.1571378058,11611.512182749748,343882.1571378058,32.13851935867345
2014-07-23,15328.5595703125,0.0,0.0,92.149927,1070000.0,1412525.6454194484,11611.512182749748,342525.6454194484,32.011742562565274
2014-07-24,15284.419921875,0.0,0.0,92.149927,1070000.0,1408458.1800381271,11611.512182749748,338458.1800381271,31.631605611039927
2014-07-25,15457.8701171875,0.0,0.0,92.149927,1070000.0,1424441.6028743098,11611.512182749748,354441.60287430976,33.125383446197176
2014-07-28,15529.400390625,0.0,0.0,92.149927,1070000.0,1431033.1123498653,11611.512182749748,361033.11234986526,33.741412369146296
2014-07-29,15618.0703125,0.0,0.0,92.149927,1070000.0,1439204.0391777423,11611.512182749748,369204.0391777423,34.5050503904432
2014-07-30,15646.23046875,0.0,0.0,92.149927,1070000.0,1441798.9955204884,11611.512182749748,371798.99552048836,34.747569674812006
2014-07-31,15620.76953125,0.0,0.0,92.149927,1070000.0,1439452.7719885118,11611.512182749748,369452.7719885118,34.52829644752447
2014-08-01,15523.1103515625,0.644201,10000.0,92.794128,1080000.0,1440453.4889210155,11638.667481200966,360453.4889210155,33.37532304824218
2014-08-04,15474.5,0.0,0.0,92.794128,1080000.0,1435942.733736,11638.667481200966,355942.733736,32.95766053111111
2014-08-05,15320.3095703125,0.0,0.0,92.794128,1080000.0,1421634.7672672032,11638.667481200966,341634.7672672032,31.632848821037342
2014-08-06,15159.7900390625,0.0,0.0,92.794128,1080000.0,1406739.4973378906,11638.667481200966,326739.49733789056,30.253657160915793
2014-08-07,15232.3701171875,0.0,0.0,92.794128,1080000.0,1413474.5023976718,11638.667481200966,333474.5023976718,30.877268740525167
2014-08-08,14778.3701171875,0.0,0.0,92.794128,1080000.0,1371345.968285672,11638.667481200966,291345.9682856719,26.97647854496963
2014-08-11,15130.51953125,0.0,0.0,92.794128,1080000.0,1404023.3660893126,11638.667481200966,324023.3660893126,30.002163526788195
2014-08-12,15161.3095703125,0.0,0.0,92.794128,1080000.0,1406880.5009152032,11638.667481200966,326880.50091520324,30.26671304770401
2014-08-13,15213.6298828125,0.0,0.0,92.794128,1080000.0,1411735.518690328,11638.667481200966,331735.5186903281,30.71625173058594
2014-08-14,15314.5703125,0.0,0.0,92.794128,1080000.0,1421102.197843125,11638.667481200966,341102.1978431251,31.5835368373264
2014-08-15,15318.33984375,0.0,0.0,92.794128,1080000.0,1421451.9882084376,11638.667481200966,341451.9882084376,31.615924834114594
2014-08-18,15322.599609375,0.0,0.0,92.794128,1080000.0,1421847.2694450938,11638.667481200966,341847.2694450938,31.652524948619785
2014-08-19,15449.7900390625,0.0,0.0,92.794128,1080000.0,1433649.7944578906,11638.667481200966,353649.79445789056,32.74535133869356
2014-08-20,15454.4501953125,0.0,0.0,92.794128,1080000.0,1434082.2295934532,11638.667481200966,354082.22959345323,32.78539162902345
2014-08-21,15586.2001953125,0.0,0.0,92.794128,1080000.0,1446307.8559574531,11638.667481200966,366307.85595745314,33.91739407013454
2014-08-22,15539.1904296875,0.0,0.0,92.794128,1080000.0,1441945.6257487969,11638.667481200966,361945.62574879685,33.51348386562933
2014-08-25,15613.25,0.0,0.0,92.794128,1080000.0,1448817.918996,11638.667481200966,368817.91899599996,34.14980731444444
2014-08-26,15521.2197265625,0.0,0.0,92.794128,1080000.0,1440278.0500227655,11638.667481200966,360278.0500227655,33.359078705811626
2014-08-27,15534.8203125,0.0,0.0,92.794128,1080000.0,1441540.104535125,11638.667481200966,361540.10453512496,33.475935605104155
2014-08-28,15459.8603515625,0.0,0.0,92.794128,1080000.0,1434584.2603250155,11638.667481200966,354584.2603250155,32.83187595601995
2014-08-29,15424.58984375,0.0,0.0,92.794128,1080000.0,1431311.3643084376,11638.667481200966,351311.36430843757,32.52883002855904
2014-09-01,15476.599609375,0.646137,10000.0,93.440265,1090000.0,1446137.5687988964,11665.206642982017,356137.5687988964,32.67317144944004
2014-09-02,15668.599609375,0.0,0.0,93.440265,1090000.0,1464078.0996788964,11665.206642982017,374078.09967889637,34.319091713660214
2014-09-03,15728.349609375,0.0,0.0,93.440265,1090000.0,1469661.1555126465,11665.206642982017,379661.15551264654,34.83129867088501
2014-09-04,15676.1796875,0.0,0.0,93.440265,1090000.0,1464786.384187617,11665.206642982017,374786.3841876171,34.38407194381807
2014-09-05,15668.6796875,0.0,0.0,93.440265,1090000.0,1464085.5822001172,11665.206642982017,374085.5822001172,34.319778183496986
2014-09-08,15705.1103515625,0.0,0.0,93.440265,1090000.0,1467489.6731042431,11665.206642982017,377489.6731042431,34.63208010130672
2014-09-09,15749.150390625,0.0,0.0,93.440265,1090000.0,1471604.7860248534,11665.206642982017,381604.78602485335,35.00961339677553
2014-09-10,15788.7802734375,0.0,0.0,93.440265,1090000.0,1475307.8127767723,11665.206642982017,385307.8127767723,35.349340621722234
2014-09-11,15909.2001953125,0.0,0.0,93.440265,1090000.0,1486559.8821880517,11665.206642982017,396559.8821880517,36.38164056771116
2014-09-12,15948.2900390625,0.0,0.0,93.440265,1090000.0,1490212.4475468602,11665.206642982017,400212.4475468602,36.7167383070514
2014-09-16,15911.5302734375,0.0,0.0,93.440265,1090000.0,1486777.6053055224,11665.206642982017,396777.60530552245,36.401615165644266
2014-09-17,15888.669921875,0.0,0.0,93.440265,1090000.0,1484641.5279975291,11665.206642982017,394641.52799752913,36.205644770415525
2014-09-18,16067.5703125,0.0,0.0,93.440265,1090000.0,1501358.0279061329,11665.206642982017,411358.02790613286,37.73926861524155
2014-09-19,16321.169921875,0.0,0.0,93.440265,1090000.0,1525054.4426100291,11665.206642982017,435054.44261002913,39.913251615599
2014-09-22,16205.900390625,0.0,0.0,93.440265,1090000.0,1514283.6270636034,11665.206642982017,424283.6270636034,38.92510340033057
2014-09-24,16167.4501953125,0.0,0.0,93.440265,1090000.0,1510690.8306243017,11665.206642982017,420690.8306243017,38.59548904810106
