Date,MarketPrice,UnitsBought,CashUsed,CumUnits,CumInvested,PortfolioValue,AvgCost,ProfitLoss,ReturnPct
2005-09-02,12600.0,0.793651,10000.0026,0.793651,10000.0026,10000.0026,12600.0,0.0,0.0
2005-09-05,12634.8798828125,0.0,0.0,0.793651,10000.0026,10027.685053874024,12600.0,27.68245387402385,0.27682446676586814
2005-09-06,12599.4296875,0.0,0.0,0.793651,10000.0026,9999.549970914062,12600.0,-0.45262908593758766,-0.004526289682538209
2005-09-07,12607.58984375,0.0,0.0,0.793651,10000.0026,10006.026287082032,12600.0,6.023687082031756,0.060236855158746216
2005-09-08,12533.8896484375,0.0,0.0,0.793651,10000.0026,9947.53405337207,12600.0,-52.468546627929754,-0.5246853298611076
2005-09-09,12692.0400390625,0.0,0.0,0.793651,10000.0026,10073.050269041993,12600.0,73.04766904199278,0.7304765004960467
2005-09-12,12896.4296875,0.0,0.0,0.793651,10000.0026,10235.264317914063,12600.0,235.2617179140634,2.3526165674603305
2005-09-13,12901.9501953125,0.0,0.0,0.793651,10000.0026,10239.64567445996,12600.0,239.6430744599602,2.3964301215277706
2005-09-14,12834.25,0.0,0.0,0.793651,10000.0026,10185.91534675,12600.0,185.91274675000022,1.8591269841269797
2005-09-15,12986.7802734375,0.0,0.0,0.793651,10000.0026,10306.971150793945,12600.0,306.9685507939448,3.0696847098214297
2005-09-16,12958.6796875,0.0,0.0,0.793651,10000.0026,10284.669092664062,12600.0,284.6664926640624,2.846664186507941
2005-09-20,13148.5703125,0.0,0.0,0.793651,10000.0026,10435.375977085938,12600.0,435.37337708593805,4.353732638888896
2005-09-21,13196.5703125,0.0,0.0,0.793651,10000.0026,10473.471225085937,12600.0,473.4686250859377,4.734685019841267
2005-09-22,13159.3603515625,0.0,0.0,0.793651,10000.0026,10443.939502377929,12600.0,443.9369023779291,4.439367869543642
2005-09-26,13392.6298828125,0.0,0.0,0.793651,10000.0026,10629.074099124024,12600.0,629.0714991240238,6.2907133556547645
2005-09-27,13310.0400390625,0.0,0.0,0.793651,10000.0026,10563.526587041992,12600.0,563.5239870419919,5.635238405257925
2005-09-28,13435.91015625,0.0,0.0,0.793651,10000.0026,10663.42353141797,12600.0,663.4209314179698,6.634207589285723
2005-09-29,13617.240234375,0.0,0.0,0.793651,10000.0026,10807.336329251953,12600.0,807.3337292519536,8.07333519345239
2005-09-30,13574.2998046875,0.0,0.0,0.793651,10000.0026,10773.25661429004,12600.0,773.2540142900398,7.732538132440481
2005-10-03,13525.2802734375,0.793651,10734.352214293946,1.587302,20734.354814293947,21468.70442858789,13062.640136718752,734.3496142939439,3.5417046774355976
2005-10-04,13738.83984375,0.0,0.0,1.587302,20734.354814293947,21807.68796166406,13062.640136718752,1073.3331473701146,5.176592939512048
2005-10-05,13689.8896484375,0.0,0.0,1.587302,20734.354814293947,21729.98921874414,13062.640136718752,995.634404450193,4.801858622404875
2005-10-06,13359.509765625,0.0,0.0,1.587302,20734.354814293947,21205.576569996094,13062.640136718752,471.22175570214677,2.272661772804696
2005-10-07,13227.740234375,0.0,0.0,1.587302,20734.354814293947,20996.418529503906,13062.640136718752,262.0637152099589,1.2639106331357564
2005-10-11,13556.7099609375,0.0,0.0,1.587302,20734.354814293947,21518.592834416017,13062.640136718752,784.2380201220694,3.782312144004729
2005-10-12,13463.740234375,0.0,0.0,1.587302,20734.354814293947,21371.021801503906,13062.640136718752,636.6669872099592,3.070589815367919
2005-10-13,13449.240234375,0.0,0.0,1.587302,20734.354814293947,21348.005922503908,13062.640136718752,613.6511082099605,2.9595862215443525
2005-10-14,13420.5400390625,0.0,0.0,1.587302,20734.354814293947,21302.450045083984,13062.640136718752,568.095230790037,2.739874164777012
2005-10-17,13400.2900390625,0.0,0.0,1.587302,20734.354814293947,21270.307179583986,13062.640136718752,535.9523652900389,2.58485190443718
2005-10-18,13352.240234375,0.0,0.0,1.587302,20734.354814293947,21194.037628503906,13062.640136718752,459.68281420995845,2.217010455965873
2005-10-19,13129.490234375,0.0,0.0,1.587302,20734.354814293947,20840.466108003908,13062.640136718752,106.11129370996059,0.5117655922276754
2005-10-20,13190.4599609375,0.0,0.0,1.587302,20734.354814293947,20937.243476916017,13062.640136718752,202.88866262207011,0.9785144724262285
2005-10-21,13199.9501953125,0.0,0.0,1.587302,20734.354814293947,20952.307344919922,13062.640136718752,217.95253062597476,1.0511662049678128
2005-10-24,13106.1796875,0.0,0.0,1.587302,20734.354814293947,20803.465230328125,13062.640136718752,69.11041603417834,0.33331355932297857
2005-10-25,13280.6201171875,0.0,0.0,1.587302,20734.354814293947,21080.354873251952,13062.640136718752,346.00005895800496,1.668728359560423
2005-10-26,13395.01953125,0.0,0.0,1.587302,20734.354814293947,21261.94129199219,13062.640136718752,527.5864776982417,2.5445039521293955
2005-10-27,13417.080078125,0.0,0.0,1.587302,20734.354814293947,21296.958042167968,13062.640136718752,562.6032278740204,2.7133867097044684
2005-10-28,13346.5400390625,0.0,0.0,1.587302,20734.354814293947,21184.989697083984,13062.640136718752,450.6348827900365,2.1733730652635286
2005-10-31,13606.5,0.0,0.0,1.587302,20734.354814293947,21597.624663,13062.640136718752,863.2698487060516,4.163475817973983
2005-11-01,13867.8603515625,0.793651,11006.24123587793,2.380953,31740.596050171876,33018.723707633784,13331.046875000002,1278.1276574619078,4.026791606060542
2005-11-02,13894.7802734375,0.0,0.0,2.380953,31740.596050171876,33082.818776381835,13331.046875000002,1342.2227262099586,4.228725648656151
2005-11-04,14075.9599609375,0.0,0.0,2.380953,31740.596050171876,33514.19909687402,13331.046875000002,1773.6030467021446,5.587806366013526
2005-11-07,14061.599609375,0.0,0.0,2.380953,31740.596050171876,33480.00777474023,13331.046875000002,1739.4117245683556,5.4800852568076985
2005-11-08,14036.73046875,0.0,0.0,2.380953,31740.596050171876,33420.79551976172,13331.046875000002,1680.199469589843,5.293534711616554
2005-11-09,14072.2001953125,0.0,0.0,2.380953,31740.596050171876,33505.24727162988,13331.046875000002,1764.6512214580034,5.559603287438741
