Date,Open,High,Low,Close,Adj_Close,Volume,Price,BuyPrice,UnitsBought,CashUsed,InvestAmount,CashRemainder,CumUnits,CumInvested,AvgCost
2005-09-02,12571.8798828125,12600.0,12544.3701171875,12600.0,12600.0,89700000.0,12600.0,12600.0,0.793651,10000.0026,10000.0026,0.0,0.793651,10000.0026,12600.0
2005-10-03,13566.2001953125,13584.6103515625,13454.669921875,13525.2802734375,13525.2802734375,203400000.0,13525.2802734375,13525.2802734375,0.793651,10734.352214293946,10734.352214293946,0.0,1.587302,20734.354814293947,13062.640136718752
2005-11-01,13718.2099609375,13867.8603515625,13706.330078125,13867.8603515625,13867.8603515625,113700000.0,13867.8603515625,13867.8603515625,0.793651,11006.24123587793,11006.24123587793,0.0,2.380953,31740.596050171876,13331.046875000002
2005-12-01,14914.75,15130.5,14880.1796875,15130.5,15130.5,150800000.0,15130.5,15130.5,0.793651,12008.3364555,12008.3364555,0.0,3.174604,43748.93250567188,13780.910156250002
2006-01-04,16294.650390625,16361.5400390625,16250.759765625,16361.5400390625,16361.5400390625,94300000.0,16361.5400390625,16361.5400390625,0.793651,12985.352613541992,12985.352613541992,0.0,3.968255,56734.28511921388,14297.036132812502
2006-02-01,16594.900390625,16671.91015625,16480.08984375,16480.08984375,16480.08984375,160300000.0,16480.08984375,16480.08984375,0.793651,13079.439784582031,13079.439784582031,0.0,4.761906,69813.72490379591,14660.878417968754
2006-03-01,16026.8203125,16053.2998046875,15910.650390625,15964.4599609375,15964.4599609375,139300000.0,15964.4599609375,15964.4599609375,0.793651,12670.209612458008,12670.209612458008,0.0,5.555556999999999,82483.93451625392,14847.104352678576
2006-04-03,17127.609375,17387.080078125,17105.5,17333.310546875,17333.310546875,129600000.0,17333.310546875,17333.310546875,0.793651,13756.59924883789,13756.59924883789,0.0,6.349207999999999,96240.53376509182,15157.88012695313
2006-05-01,16929.830078125,16965.330078125,16868.689453125,16925.7109375,16925.7109375,79600000.0,16925.7109375,16925.7109375,0.793651,13433.107411257812,13433.107411257812,0.0,7.142858999999999,109673.64117634963,15354.30577256945
2006-06-01,15603.25,15655.0,15417.509765625,15503.740234375,15503.740234375,102500000.0,15503.740234375,15503.740234375,0.793651,12304.558940751953,12304.558940751953,0.0,7.936509999999998,121978.20011710159,15369.249218750007
2006-07-03,15573.349609375,15617.2197265625,15513.2900390625,15571.6201171875,15571.6201171875,102700000.0,15571.6201171875,15571.6201171875,0.793651,12358.431877625977,12358.431877625977,0.0,8.730160999999999,134336.63199472756,15387.646573153414
2006-08-01,15387.51953125,15522.0302734375,15365.7099609375,15440.91015625,15440.91015625,93000000.0,15440.91015625,15440.91015625,0.793651,12254.693786417969,12254.693786417969,0.0,9.523812,146591.32578114554,15392.085205078129
2006-09-01,16072.8095703125,16158.48046875,16029.5595703125,16134.25,16134.25,100200000.0,16134.25,16134.25,0.793651,12804.96364675,12804.96364675,0.0,10.317463,159396.28942789554,15449.174804687502
2006-10-02,16169.0,16329.240234375,16157.98046875,16254.2900390625,16254.2900390625,102600000.0,16254.2900390625,16254.2900390625,0.793651,12900.233543791992,12900.233543791992,0.0,11.111114,172296.52297168752,15506.683035714286
2006-11-01,16338.7197265625,16444.509765625,16246.240234375,16375.259765625,16375.259765625,103800000.0,16375.259765625,16375.259765625,0.793651,12996.241288248048,12996.241288248048,0.0,11.904765000000001,185292.76425993556,15564.588151041666
2006-12-01,16313.01953125,16376.2998046875,16242.009765625,16321.7802734375,16321.7802734375,111800000.0,16321.7802734375,16321.7802734375,0.793651,12953.797235793945,12953.797235793945,0.0,12.698416000000002,198246.56149572952,15611.912658691406
