Date,MarketPrice,UnitsBought,CashUsed,CumUnits,CumInvested,PortfolioValue,AvgCost,ProfitLoss,ReturnPct
2012-03-02,8144.0,0.0,0.0,109.45628900000001,790000.0,891412.0176160001,7217.493003074496,101412.01761600014,12.836964255189898
2012-03-05,8004.7,0.0,0.0,109.45628900000001,790000.0,876164.7565583001,7217.493003074496,86164.75655830011,10.906931209911397
2012-03-06,7937.93,0.0,0.0,109.45628900000001,790000.0,868856.3601417701,7217.493003074496,78856.3601417701,9.98181773946456
2012-03-07,7903.04,0.0,0.0,109.45628900000001,790000.0,865037.43021856,7217.493003074496,75037.43021856004,9.498408888425324
2012-03-08,7984.52,0.0,0.0,109.45628900000001,790000.0,873955.9286462802,7217.493003074496,83955.9286462802,10.627332740035467
2012-03-09,8015.97,0.0,0.0,109.45628900000001,790000.0,877398.3289353302,7217.493003074496,87398.32893533015,11.063079612067117
2012-03-12,7927.51,0.0,0.0,109.45628900000001,790000.0,867715.8256103902,7217.493003074496,77715.82561039017,9.837446279796215
2012-03-13,8031.47,0.0,0.0,109.45628900000001,790000.0,879094.9014148301,7217.493003074496,89094.90141483012,11.277835622130405
2012-03-14,8125.22,0.0,0.0,109.45628900000001,790000.0,889356.4285085801,7217.493003074496,99356.42850858008,12.576763102351919
2012-03-15,8121.58,0.0,0.0,109.45628900000001,790000.0,888958.00761662,7217.493003074496,98958.00761662005,12.52633007805317
2012-03-16,8054.9,0.0,0.0,109.45628900000001,790000.0,881659.4622661001,7217.493003074496,91659.4622661001,11.602463577987354
2012-03-19,8043.88,0.0,0.0,109.45628900000001,790000.0,880453.2539613202,7217.493003074496,90453.25396132015,11.44977898244559
2012-03-20,7972.66,0.0,0.0,109.45628900000001,790000.0,872657.77705874,7217.493003074496,82657.77705874003,10.46300975427088
2012-03-21,7981.9,0.0,0.0,109.45628900000001,790000.0,873669.1531691,7217.493003074496,83669.15316910006,10.591032046721516
2012-03-22,8059.9,0.0,0.0,109.45628900000001,790000.0,882206.7437111001,7217.493003074496,92206.74371110008,11.671739710265827
2012-03-23,8076.57,0.0,0.0,109.45628900000001,790000.0,884031.3800487301,7217.493003074496,94031.38004873006,11.902706335282275
2012-03-26,7967.58,0.0,0.0,109.45628900000001,790000.0,872101.7391106201,7217.493003074496,82101.73911062011,10.39262520387596
2012-03-27,8029.42,0.0,0.0,109.45628900000001,790000.0,878870.5160223801,7217.493003074496,88870.51602238009,11.24943240789622
2012-03-28,8038.03,0.0,0.0,109.45628900000001,790000.0,879812.9346706701,7217.493003074496,89812.93467067007,11.368725907679767
2012-03-29,7872.62,0.0,0.0,109.45628900000001,790000.0,861707.7699071801,7217.493003074496,71707.7699071801,9.076932899643042
2012-03-30,7932.96,0.0,0.0,109.45628900000001,790000.0,868312.3623854402,7217.493003074496,78312.36238544015,9.91295726397976
2012-04-02,7862.86,1.271802,10000.0,110.728091,800000.0,870639.47760026,7224.905557163448,70639.47760026006,8.829934700032505
2012-04-03,7760.81,0.0,0.0,110.728091,800000.0,859339.6759137101,7224.905557163448,59339.67591371015,7.4174594892137735
2012-04-05,7639.78,0.0,0.0,110.728091,800000.0,845938.25505998,7224.905557163448,45938.25505997997,5.742281882497502
2012-04-06,7706.22,0.0,0.0,110.728091,800000.0,853295.0294260201,7224.905557163448,53295.029426020104,6.66187867825252
