Date,Open,High,Low,Close,Adj_Close,Volume,Price,BuyPrice,UnitsBought,CashUsed,InvestAmount,CashRemainder,CumUnits,CumInvested,AvgCost
2005-09-02,1221.589966,1224.449951,1217.75,1218.02002,1218.02002,1640160000,1218.02002,1218.02002,8.210046,10000.00039312092,10000.00039312092,0.0,8.210046,10000.00039312092,1218.02002
2005-10-03,1228.810059,1233.339966,1225.150024,1226.699951,1226.699951,2097490000,1226.699951,1226.699951,8.210046,10071.263025907747,10071.263025907747,0.0,16.420092,20071.263419028666,1222.3599855
2005-11-01,1207.01001,1207.339966,1201.660034,1202.76001,1202.76001,2457850000,1202.76001,1202.76001,8.210046,9874.71500906046,9874.71500906046,0.0,24.630138000000002,29945.978428089125,1215.8266603333332
2005-12-01,1249.47998,1266.170044,1249.47998,1264.670044,1264.670044,2614830000,1264.670044,1264.670044,8.210046,10382.999236062024,10382.999236062024,0.0,32.840184,40328.97766415115,1228.03750625
2006-01-03,1248.290039,1270.219971,1245.73999,1268.800049,1268.800049,2554570000,1268.800049,1268.800049,8.210046,10416.906767092254,10416.906767092254,0.0,41.05023,50745.8844312434,1236.1900148
2006-02-01,1280.079956,1283.329956,1277.569946,1282.459961,1282.459961,2589410000,1282.459961,1282.459961,8.210046,10529.055272968206,10529.055272968206,0.0,49.260276,61274.9397042116,1243.9016725
2006-03-01,1280.660034,1291.800049,1280.660034,1291.23999,1291.23999,2308320000,1291.23999,1291.23999,8.210046,10601.13971493954,10601.13971493954,0.0,57.470321999999996,71876.07941915114,1250.6642892857142
2006-04-03,1302.880005,1309.189941,1296.650024,1297.810059,1297.810059,2494080000,1297.810059,1297.810059,8.210046,10655.080283652713,10655.080283652713,0.0,65.680368,82531.15970280385,1256.5575104999998
2006-05-01,1310.609985,1317.209961,1303.459961,1305.189941,1305.189941,2437040000,1305.189941,1305.189941,8.210046,10715.669454347288,10715.669454347288,0.0,73.890414,93246.82915715114,1261.9611138888886
2006-06-01,1270.050049,1285.709961,1269.189941,1285.709961,1285.709961,2360160000,1285.709961,1285.709961,8.210046,10555.737922468206,10555.737922468206,0.0,82.10046000000001,103802.56707961934,1264.3359985999996
2006-07-03,1270.060059,1280.380005,1270.060059,1280.189941,1280.189941,1114470000,1280.189941,1280.189941,8.210046,10510.418304347288,10510.418304347288,0.0,90.31050600000002,114312.98538396663,1265.7772660909088
2006-08-01,1278.530029,1278.660034,1265.709961,1270.920044,1270.920044,2527690000,1270.920044,1270.920044,8.210046,10434.312023562024,10434.312023562024,0.0,98.52055200000002,124747.29740752866,1266.2058309166664
2006-09-01,1303.800049,1312.030029,1303.800049,1311.01001,1311.01001,1800520000,1311.01001,1311.01001,8.210046,10763.45248856046,10763.45248856046,0.0,106.73059800000003,135510.7498960891,1269.6523062307688
2006-10-02,1335.819946,1338.540039,1330.280029,1331.319946,1331.319946,2154480000,1331.319946,1331.319946,8.210046,10930.197997377516,10930.197997377516,0.0,114.94064400000003,146440.94789346663,1274.0571376428566
2006-11-01,1377.76001,1381.949951,1366.26001,1367.810059,1367.810059,2821160000,1367.810059,1367.810059,8.210046,11229.783503652714,11229.783503652714,0.0,123.15069000000004,157670.73139711935,1280.3073323999995
2006-12-01,1400.630005,1402.459961,1385.930054,1396.709961,1396.709961,2800980000,1396.709961,1396.709961,8.210046,11467.053028468206,11467.053028468206,0.0,131.36073600000003,169137.78442558757,1287.5824966874998
2007-01-03,1418.030029,1429.420044,1407.859985,1416.599976,1416.599976,3429160000,1416.599976,1416.599976,8.210046,11630.350966558895,11630.350966558895,0.0,139.57078200000004,180768.13539214648,1295.1717601764703
2007-02-01,1437.900024,1446.640015,1437.900024,1445.939941,1445.939941,2914890000,1445.939941,1445.939941,8.210046,11871.233428847287,11871.233428847287,0.0,147.78082800000004,192639.36882099375,1303.547770222222
2007-03-01,1406.800049,1409.459961,1380.869995,1403.170044,1403.170044,3874910000,1403.170044,1403.170044,8.210046,11520.090607062024,11520.090607062024,0.0,155.99087400000005,204159.45942805576,1308.7910477894732
2007-04-02,1420.829956,1425.48999,1416.369995,1424.550049,1424.550049,2875880000,1424.550049,1424.550049,8.210046,11695.621431592253,11695.621431592253,0.0,164.20092000000005,215855.080859648,1314.5789978499995
2007-05-01,1482.369995,1487.27002,1476.699951,1486.300049,1486.300049,3400350000,1486.300049,1486.300049,8.210046,12202.591772092253,12202.591772092253,0.0,172.41096600000006,228057.67263174025,1322.7561907619042
2007-06-01,1530.619995,1540.560059,1530.619995,1536.339966,1536.339966,2927020000,1536.339966,1536.339966,8.210046,12613.421792498437,12613.421792498437,0.0,180.62101200000006,240671.0944242387,1332.4645441818177
2007-07-02,1504.660034,1519.449951,1504.660034,1519.430054,1519.430054,2648990000,1519.430054,1519.430054,8.210046,12474.590637122483,12474.590637122483,0.0,188.83105800000007,253145.68506136118,1340.5934793913038
2007-08-01,1455.180054,1468.380005,1439.589966,1465.810059,1465.810059,5256780000,1465.810059,1465.810059,8.210046,12034.368011652714,12034.368011652714,0.0,197.04110400000008,265180.0530730139,1345.8108368749995
2007-09-04,1473.959961,1496.400024,1472.150024,1489.420044,1489.420044,2766600000,1489.420044,1489.420044,8.210046,12228.207074562024,12228.207074562024,0.0,205.25115000000008,277408.26014757593,1351.5552051599993
2007-10-01,1527.290039,1549.02002,1527.25,1547.040039,1547.040039,3281990000,1547.040039,1547.040039,8.210046,12701.269884031793,12701.269884031793,0.0,213.4611960000001,290109.5300316077,1359.073852615384
2007-11-01,1545.790039,1545.790039,1506.660034,1508.439941,1508.439941,4241470000,1508.439941,1508.439941,8.210046,12384.361303847287,12384.361303847287,0.0,221.6712420000001,302493.891335455,1364.6059299629624
2007-12-03,1479.630005,1481.160034,1470.079956,1472.420044,1472.420044,3323250000,1472.420044,1472.420044,8.210046,12088.636292562023,12088.636292562023,0.0,229.8812880000001,314582.527628017,1368.4564340357135
2008-01-02,1467.969971,1471.77002,1442.069946,1447.160034,1447.160034,3452650000,1447.160034,1447.160034,8.210046,11881.250448501563,11881.250448501563,0.0,238.0913340000001,326463.77807651856,1371.1703512758613
2008-02-01,1378.599976,1396.02002,1375.930054,1395.420044,1395.420044,4650770000,1395.420044,1395.420044,8.210046,11456.462750562025,11456.462750562025,0.0,246.3013800000001,337920.24082708056,1371.9786743666657
2008-03-03,1330.449951,1335.130005,1320.040039,1331.339966,1331.339966,4117570000,1331.339966,1331.339966,8.210046,10930.362362498436,10930.362362498436,0.0,254.5114260000001,348850.603189579,1370.6677482903217
2008-04-01,1326.410034,1370.180054,1326.410034,1370.180054,1370.180054,4745120000,1370.180054,1370.180054,8.210046,11249.241271622484,11249.241271622484,0.0,262.7214720000001,360099.84446120146,1370.652507843749
2008-05-01,1385.969971,1410.069946,1383.069946,1409.339966,1409.339966,4448780000,1409.339966,1409.339966,8.210046,11570.745950498436,11570.745950498436,0.0,270.9315180000001,371670.5904116999,1371.8248550606052
2008-06-02,1399.619995,1399.619995,1377.790039,1385.670044,1385.670044,3714320000,1385.670044,1385.670044,8.210046,11376.414802062023,11376.414802062023,0.0,279.1415640000001,383047.00521376194,1372.2320664999993
2008-07-01,1276.689941,1285.310059,1260.680054,1284.910034,1284.910034,5846290000,1284.910034,1284.910034,8.210046,10549.170485001565,10549.170485001565,0.0,287.35161000000005,393596.1756987635,1369.737151285714
2008-08-01,1269.420044,1270.52002,1254.540039,1260.310059,1260.310059,4684870000,1260.310059,1260.310059,8.210046,10347.203558652713,10347.203558652713,0.0,295.561656,403943.37925741624,1366.697509833333
2008-09-02,1287.829956,1303.040039,1272.199951,1277.579956,1277.579956,4783560000,1277.579956,1277.579956,8.210046,10488.990207437977,10488.990207437977,0.0,303.771702,414432.3694648542,1364.288927297297
2008-10-01,1164.170044,1167.030029,1140.77002,1161.060059,1161.060059,5782130000,1161.060059,1161.060059,8.210046,9532.356493152713,9532.356493152713,0.0,311.981748,423964.7259580069,1358.9407991842104
