Date,Open,High,Low,Close,Adj_Close,Volume,Price,BuyPrice,InvestAmount,UnitsBought,CashUsed,CashRemainder,CumUnits,CumInvested,AvgCost
2005-09-02,1221.589966,1224.449951,1217.75,1218.02002,1218.02002,1640160000,1218.02002,1218.02002,10000.0,8.210046,10000.0,0.0,8.210046,10000.0,1218.0199721170868
2005-10-03,1228.810059,1233.339966,1225.150024,1226.699951,1226.699951,2097490000,1226.699951,1226.699951,10000.0,8.151953,10000.0,0.0,16.361999,20000.0,1222.344531374192
2005-11-01,1207.01001,1207.339966,1201.660034,1202.76001,1202.76001,2457850000,1202.76001,1202.76001,10000.0,8.314211,10000.0,0.0,24.67621,30000.0,1215.7458540027014
2005-12-01,1249.47998,1266.170044,1249.47998,1264.670044,1264.670044,2614830000,1264.670044,1264.670044,10000.0,7.907201,10000.0,0.0,32.583411,40000.0,1227.6185571854342
2006-01-03,1248.290039,1270.219971,1245.73999,1268.800049,1268.800049,2554570000,1268.800049,1268.800049,10000.0,7.881462,10000.0,0.0,40.464873,50000.0,1235.639612658614
2006-02-01,1280.079956,1283.329956,1277.569946,1282.459961,1282.459961,2589410000,1282.459961,1282.459961,10000.0,7.797514,10000.0,0.0,48.262387,60000.0,1243.204153992632
2006-03-01,1280.660034,1291.800049,1280.660034,1291.23999,1291.23999,2308320000,1291.23999,1291.23999,10000.0,7.744494,10000.0,0.0,56.006881,70000.0,1249.8464251205132
2006-04-03,1302.880005,1309.189941,1296.650024,1297.810059,1297.810059,2494080000,1297.810059,1297.810059,10000.0,7.705288,10000.0,0.0,63.712169,80000.0,1255.6470962399662
2006-05-01,1310.609985,1317.209961,1303.459961,1305.189941,1305.189941,2437040000,1305.189941,1305.189941,10000.0,7.66172,10000.0,0.0,71.373889,90000.0,1260.9653370576457
2006-06-01,1270.050049,1285.709961,1269.189941,1285.709961,1285.709961,2360160000,1285.709961,1285.709961,10000.0,7.777804,10000.0,0.0,79.15169300000001,100000.0,1263.3968549478782
2006-07-03,1270.060059,1280.380005,1270.060059,1280.189941,1280.189941,1114470000,1280.189941,1280.189941,10000.0,7.811341,10000.0,0.0,86.96303400000001,110000.0,1264.9052699794258
