Date,Open,High,Low,Close,Adj_Close,Volume,Price,BuyPrice,InvestAmount,UnitsBought,CashUsed,CashRemainder,CumUnits,CumInvested,AvgCost
2005-09-02,6081.71,6116.05,6075.35,6116.05,6116.02,2964000.0,6116.02,6116.02,10000.0,1.63505,10000.0,0.0,1.63505,10000.0,6116.0209167915355
2005-10-03,6128.97,6139.22,6090.78,6123.92,6123.89,2977400.0,6123.89,6123.89,10000.0,1.632949,10000.0,0.0,3.2679989999999997,20000.0,6119.9529130822875
2005-11-01,5803.25,5829.82,5786.64,5798.41,5798.38,3006600.0,5798.38,5798.38,10000.0,1.72462,10000.0,0.0,4.9926189999999995,30000.0,6008.870294328488
2005-12-01,6196.36,6202.91,6162.86,6179.82,6179.79,3207600.0,6179.79,6179.79,10000.0,1.618178,10000.0,0.0,6.610797,40000.0,6050.707652950166
2006-01-02,6457.61,6492.92,6424.03,6462.06,6462.03,4678400.0,6462.03,6462.03,10000.0,1.547501,10000.0,0.0,8.158298,50000.0,6128.729301136094
2006-02-03,6592.19,6626.43,6547.17,6594.6,6594.57,3590600.0,6594.57,6594.57,10000.0,1.516399,10000.0,0.0,9.674697,60000.0,6201.74461277702
2006-03-01,6518.0,6636.92,6518.0,6613.39,6613.36,3071800.0,6613.36,6613.36,10000.0,1.512091,10000.0,0.0,11.186788,70000.0,6257.381475361829
2006-04-03,6627.32,6672.11,6615.98,6660.76,6660.73,3261800.0,6660.73,6660.73,10000.0,1.501337,10000.0,0.0,12.688125,80000.0,6305.108122752574
2006-05-02,7174.93,7217.37,7141.91,7199.6,7199.57,4970800.0,7199.57,7199.57,10000.0,1.388972,10000.0,0.0,14.077097,90000.0,6393.363631720375
2006-06-01,6874.66,6922.34,6868.42,6872.84,6872.81,2712400.0,6872.81,6872.81,10000.0,1.455009,10000.0,0.0,15.532106,100000.0,6438.276947118439
2006-07-03,6727.23,6735.34,6705.25,6718.5,6718.47,2609800.0,6718.47,6718.47,10000.0,1.488434,10000.0,0.0,17.02054,110000.0,6462.779676790513
2006-08-01,6464.59,6478.34,6435.93,6441.46,6441.43,2440000.0,6441.43,6441.43,10000.0,1.55245,10000.0,0.0,18.57299,120000.0,6460.995240938589
2006-09-01,6631.83,6658.13,6625.23,6651.46,6651.43,2553800.0,6651.43,6651.43,10000.0,1.503436,10000.0,0.0,20.076426,130000.0,6475.256103850356
2006-10-02,6907.43,6961.78,6907.43,6960.95,6960.92,3468400.0,6960.92,6960.92,10000.0,1.436592,10000.0,0.0,21.513018000000002,140000.0,6507.68757781916
2006-11-01,7036.07,7058.69,7013.99,7013.99,7013.96,3055200.0,7013.96,7013.96,10000.0,1.425728,10000.0,0.0,22.938746000000002,150000.0,6539.15431994408
2006-12-01,7587.51,7621.81,7557.62,7613.57,7613.53,6260800.0,7613.53,7613.53,10000.0,1.313451,10000.0,0.0,24.252197000000002,160000.0,6597.340438888897
2007-01-02,7871.41,7937.26,7843.6,7920.8,7920.76,5710600.0,7920.76,7920.76,10000.0,1.262505,10000.0,0.0,25.514702000000003,170000.0,6662.8252213174965
2007-02-01,7751.3,7757.63,7679.78,7701.54,7701.5,2706600.0,7701.5,7701.5,10000.0,1.298448,10000.0,0.0,26.813150000000004,180000.0,6713.123970887418
2007-03-01,7707.63,7761.4,7663.17,7678.67,7678.63,4230600.0,7678.63,7678.63,10000.0,1.302316,10000.0,0.0,28.115466000000005,190000.0,6757.846375372187
2007-04-02,7888.17,7931.99,7866.59,7884.99,7884.95,4390000.0,7884.95,7884.95,10000.0,1.268239,10000.0,0.0,29.383705000000006,200000.0,6806.493599088337
2007-05-02,7900.76,7951.69,7890.54,7903.04,7903.0,3193200.0,7903.0,7903.0,10000.0,1.265342,10000.0,0.0,30.649047000000007,210000.0,6851.762797061845
2007-06-01,8236.76,8261.67,8224.28,8249.9,8249.86,4198400.0,8249.86,8249.86,10000.0,1.212142,10000.0,0.0,31.861189000000007,220000.0,6904.95260550383
2007-07-02,8903.77,8939.49,8849.35,8939.49,8939.45,5468400.0,8939.45,8939.45,10000.0,1.118637,10000.0,0.0,32.97982600000001,230000.0,6973.960384145142
2007-08-01,9188.6,9265.7,8891.88,8891.88,8891.84,8423400.0,8891.84,8891.84,10000.0,1.124627,10000.0,0.0,34.10445300000001,240000.0,7037.204203216511
2007-09-03,9018.89,9019.41,8947.06,8979.96,8979.92,4732000.0,8979.92,8979.92,10000.0,1.113596,10000.0,0.0,35.21804900000001,250000.0,7098.632862939113
2007-10-01,9523.98,9555.07,9474.4,9488.5,9488.46,6169000.0,9488.46,9488.46,10000.0,1.053912,10000.0,0.0,36.271961000000005,260000.0,7168.071227249058
2007-11-01,9780.59,9785.75,9556.22,9598.23,9598.19,6153600.0,9598.19,9598.19,10000.0,1.041863,10000.0,0.0,37.313824000000004,270000.0,7235.924144360009
2007-12-03,8623.12,8645.62,8565.08,8583.84,8583.8,3307600.0,8583.8,8583.8,15000.0,1.747478,15000.0,0.0,39.061302000000005,285000.0,7296.223766427447
